Date : 2025-02-25 21:29:23
Directory : f:\myjs\three-tile
Total : 126 files,  18358 codes, 2050 comments, 1467 blanks, all 21875 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |          2 |      8,102 |          0 |         72 |      8,174 |
| TypeScript              |        104 |      4,861 |      1,841 |        975 |      7,677 |
| JSON                    |          2 |      2,702 |          0 |          2 |      2,704 |
| JavaScript              |          6 |      1,395 |        208 |         21 |      1,624 |
| Markdown                |          5 |        960 |          0 |        365 |      1,325 |
| CSS                     |          1 |        157 |          0 |         18 |        175 |
| HTML                    |          2 |        139 |          0 |         13 |        152 |
| JSON with Comments      |          2 |         28 |          1 |          1 |         30 |
| XML                     |          2 |         14 |          0 |          0 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                        |        126 |     18,358 |      2,050 |      1,467 |     21,875 |
| . (Files)                                                                |         14 |      3,498 |         21 |        264 |      3,783 |
| demo                                                                     |         17 |      5,250 |        150 |        184 |      5,584 |
| demo (Files)                                                             |          5 |        470 |         95 |         68 |        633 |
| demo\gui                                                                 |          8 |        631 |         55 |         71 |        757 |
| demo\public                                                              |          4 |      4,149 |          0 |         45 |      4,194 |
| demo\public (Files)                                                      |          3 |      4,148 |          0 |         45 |      4,193 |
| demo\public\image                                                        |          1 |          1 |          0 |          0 |          1 |
| src                                                                      |         95 |      9,610 |      1,879 |      1,019 |     12,508 |
| src (Files)                                                              |          2 |         10 |         12 |          5 |         27 |
| src\geometry                                                             |          9 |        713 |        236 |        164 |      1,113 |
| src\geometry (Files)                                                     |          7 |        547 |        195 |        124 |        866 |
| src\geometry\back                                                        |          2 |        166 |         41 |         40 |        247 |
| src\loader                                                               |         10 |        566 |        236 |        100 |        902 |
| src\map                                                                  |         11 |        526 |        463 |        135 |      1,124 |
| src\map (Files)                                                          |          4 |        356 |        350 |         89 |        795 |
| src\map\projection                                                       |          7 |        170 |        113 |         46 |        329 |
| src\material                                                             |          3 |         69 |         36 |         17 |        122 |
| src\material (Files)                                                     |          2 |         20 |         14 |          8 |         42 |
| src\material\shader                                                      |          1 |         49 |         22 |          9 |         80 |
| src\plugin                                                               |         54 |      7,319 |        648 |        521 |      8,488 |
| src\plugin (Files)                                                       |          3 |        470 |         43 |        146 |        659 |
| src\plugin\debugLoader                                                   |          2 |         44 |         19 |          8 |         71 |
| src\plugin\fakeEarth                                                     |          3 |         69 |         27 |         17 |        113 |
| src\plugin\lercLoader                                                    |         11 |      5,677 |        229 |         95 |      6,001 |
| src\plugin\lercLoader (Files)                                            |          4 |        174 |         41 |         27 |        242 |
| src\plugin\lercLoader\lercDecode                                         |          7 |      5,503 |        188 |         68 |      5,759 |
| src\plugin\logoLoader                                                    |          2 |         47 |         28 |         11 |         86 |
| src\plugin\mapSource                                                     |         13 |        247 |         85 |         59 |        391 |
| src\plugin\martiniLoader                                                 |          4 |        154 |         73 |         29 |        256 |
| src\plugin\normalLoder                                                   |          2 |         16 |         15 |          6 |         37 |
| src\plugin\qmLoader                                                      |          4 |        388 |         27 |         96 |        511 |
| src\plugin\singleImageLoader                                             |          2 |         67 |         25 |         22 |        114 |
| src\plugin\terrainRGBLoader                                              |          4 |         83 |         50 |         17 |        150 |
| src\plugin\tileImageLoader                                               |          2 |         36 |         13 |          8 |         57 |
| src\plugin\wireframeLoader                                               |          2 |         21 |         14 |          7 |         42 |
| src\source                                                               |          3 |         74 |         77 |         15 |        166 |
| src\tile                                                                 |          3 |        333 |        171 |         62 |        566 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                 | language                | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| f:\myjs\three-tile\.eslintrc.cjs                                         | JavaScript              |         30 |          0 |          1 |         31 |
| f:\myjs\three-tile\.prettierrc.cjs                                       | JavaScript              |         23 |         20 |          2 |         45 |
| f:\myjs\three-tile\DEV.md                                                | Markdown                |         78 |          0 |         60 |        138 |
| f:\myjs\three-tile\README.md                                             | Markdown                |        219 |          0 |         75 |        294 |
| f:\myjs\three-tile\README_CN.md                                          | Markdown                |        310 |          0 |         87 |        397 |
| f:\myjs\three-tile\blog.md                                               | Markdown                |         54 |          0 |         27 |         81 |
| f:\myjs\three-tile\demo\gui\camera.ts                                    | TypeScript              |        130 |         18 |         11 |        159 |
| f:\myjs\three-tile\demo\gui\compass.ts                                   | TypeScript              |         13 |          2 |          2 |         17 |
| f:\myjs\three-tile\demo\gui\debug.ts                                     | TypeScript              |         56 |          1 |          4 |         61 |
| f:\myjs\three-tile\demo\gui\environment.ts                               | TypeScript              |         64 |          0 |         12 |         76 |
| f:\myjs\three-tile\demo\gui\index.ts                                     | TypeScript              |         95 |         11 |         10 |        116 |
| f:\myjs\three-tile\demo\gui\loader.ts                                    | TypeScript              |         55 |          0 |          7 |         62 |
| f:\myjs\three-tile\demo\gui\mapOptions.ts                                | TypeScript              |         15 |          1 |          3 |         19 |
| f:\myjs\three-tile\demo\gui\source.ts                                    | TypeScript              |        203 |         22 |         22 |        247 |
| f:\myjs\three-tile\demo\index.html                                       | HTML                    |         55 |          0 |          4 |         59 |
| f:\myjs\three-tile\demo\main.ts                                          | TypeScript              |         81 |         40 |         17 |        138 |
| f:\myjs\three-tile\demo\mapSource.ts                                     | TypeScript              |        131 |         25 |         21 |        177 |
| f:\myjs\three-tile\demo\public\favicon.svg                               | XML                     |         13 |          0 |          0 |         13 |
| f:\myjs\three-tile\demo\public\image\shanxi.svg                          | XML                     |          1 |          0 |          0 |          1 |
| f:\myjs\three-tile\demo\public\lerc-wasm.wasm                            | WebAssembly Text Format |      4,051 |          0 |         36 |      4,087 |
| f:\myjs\three-tile\demo\public\test.html                                 | HTML                    |         84 |          0 |          9 |         93 |
| f:\myjs\three-tile\demo\style.css                                        | CSS                     |        157 |          0 |         18 |        175 |
| f:\myjs\three-tile\demo\utils.ts                                         | TypeScript              |         46 |         30 |          8 |         84 |
| f:\myjs\three-tile\package-lock.json                                     | JSON                    |      2,646 |          0 |          1 |      2,647 |
| f:\myjs\three-tile\package.json                                          | JSON                    |         56 |          0 |          1 |         57 |
| f:\myjs\three-tile\src\geometry\GeometryDataTypes.ts                     | TypeScript              |         18 |         11 |          3 |         32 |
| f:\myjs\three-tile\src\geometry\Martini.ts                               | TypeScript              |        193 |         59 |         50 |        302 |
| f:\myjs\three-tile\src\geometry\TileGeometry.ts                          | TypeScript              |         20 |         14 |          6 |         40 |
| f:\myjs\three-tile\src\geometry\back\TileDEMGeometry.ts                  | TypeScript              |        145 |         37 |         36 |        218 |
| f:\myjs\three-tile\src\geometry\back\TileSimpleGeometry.ts               | TypeScript              |         21 |          4 |          4 |         29 |
| f:\myjs\three-tile\src\geometry\index.ts                                 | TypeScript              |          6 |          5 |          2 |         13 |
| f:\myjs\three-tile\src\geometry\skirt.ts                                 | TypeScript              |        144 |         54 |         29 |        227 |
| f:\myjs\three-tile\src\geometry\utils.test.ts                            | TypeScript              |         66 |          0 |         14 |         80 |
| f:\myjs\three-tile\src\geometry\utils.ts                                 | TypeScript              |        100 |         52 |         20 |        172 |
| f:\myjs\three-tile\src\index.ts                                          | TypeScript              |          9 |         12 |          4 |         25 |
| f:\myjs\three-tile\src\loader\CacheEx.ts                                 | TypeScript              |         28 |         10 |          7 |         45 |
| f:\myjs\three-tile\src\loader\FileLoaderEx.ts                            | TypeScript              |        108 |         18 |         21 |        147 |
